stock_code,cluster,y_pred,p_up,ensemble_score,weight,stop_loss,take_profit,rebalance_freq
096530,1,0.21863150786831,0.9509614051884983,0.6352884215565495,0.054,-3%,+7%,Monthly
096530,1,0.21863150786831,0.9509614051884983,0.6352884215565495,0.054,-3%,+7%,Monthly
013360,1,0.1954449242664196,0.9765526735162143,0.6095119557819845,0.0518,-3%,+7%,Monthly
416180,1,0.1968956387454401,0.9238752600515258,0.5958018378249692,0.0506,-3%,+7%,Monthly
344820,1,0.1858706080002143,0.9762064292569806,0.595594158467926,0.0506,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
008830,1,0.170644594372804,0.9962770980688354,0.5796471067813448,0.0493,-3%,+7%,Monthly
