stock_code,cluster,y_pred,p_up,final_score,weight,stop_loss,take_profit,rebalance_freq
294570,0,0.1215262694269251,0.9333109642822605,0.5166554821411303,0.0603,-5%,+5%,Quarterly
035080,0,0.1131995079869203,0.93662401356948,0.5025648765820575,0.0587,-5%,+5%,Quarterly
004710,1,0.0158300920096255,0.9798639667499773,0.44004497091422445,0.0514,-5%,+5%,Quarterly
004710,1,0.0158300920096255,0.9798639667499773,0.44004497091422445,0.0514,-5%,+5%,Quarterly
200780,2,0.072766636547565,0.9635953600488955,0.43958604491053954,0.0513,-5%,+5%,Quarterly
200780,2,0.072766636547565,0.9635953600488955,0.43958604491053954,0.0513,-5%,+5%,Quarterly
200780,2,0.072766636547565,0.9635953600488955,0.43958604491053954,0.0513,-5%,+5%,Quarterly
001540,1,0.0165217419734072,0.9594407069223222,0.43114135277818416,0.0503,-5%,+5%,Quarterly
078000,1,0.0156835506208555,0.9575635322658675,0.4286176223593934,0.05,-5%,+5%,Quarterly
296640,2,0.0591729486906338,0.9843882491060523,0.42427482696312935,0.0495,-5%,+5%,Quarterly
161000,1,0.016466457808573,0.9382716116066473,0.4204522546359762,0.0491,-5%,+5%,Quarterly
016360,1,0.0150521067501368,0.9410321946334484,0.4191578003397401,0.0489,-5%,+5%,Quarterly
014580,1,0.0189496659844665,0.9152911856402602,0.4136581534302011,0.0483,-5%,+5%,Quarterly
393210,1,0.0093092868969345,0.950838041883693,0.413200207230895,0.0482,-5%,+5%,Quarterly
001720,0,0.0494694756296051,0.9862572741250688,0.40685864517075376,0.0475,-5%,+5%,Quarterly
008110,1,0.0055574372284466,0.9437519926954456,0.40256188326302866,0.047,-5%,+5%,Quarterly
009290,1,0.0108763453293486,0.9160766595901263,0.398783053991164,0.0466,-5%,+5%,Quarterly
009290,1,0.0108763453293486,0.9160766595901263,0.398783053991164,0.0466,-5%,+5%,Quarterly
126880,1,0.0116109004996962,0.9053360330928054,0.3948018925744444,0.0461,-5%,+5%,Quarterly
460940,0,0.0590852668460954,0.9250813973561823,0.3944555818279326,0.0461,-5%,+5%,Quarterly
